,id,snippet.title,snippet.description,snippet.customUrl,snippet.publishedAt,snippet.thumbnails.high.url,snippet.country,contentDetails.relatedPlaylists.uploads,statistics.viewCount,statistics.subscriberCount,statistics.videoCount
0,UCnz-ZXXER4jOvuED5trXfEA,techTFQ,"Hi, I am Thoufiq! On this channel, I teach SQL, Python and Database concepts in the field of Data Analytics and Data Science in the most simplest manner possible. If this excites you then do consider subscribing.

You will also find videos covering interview questions and also videos where I provide career guidance in the field of Data Analytics and Data Science which should help you find your dream job.

I aim to make techTFQ a go to YouTube channel for anyone learning SQL, Python and Databases in the field of Data Analytics and Data Science.

Thank you for begin here :)
",@techtfq,2020-06-13T05:20:37.182391Z,https://yt3.ggpht.com/68QpkOCRQespfOQ5yZwhCrM6Ab0kipqOU16JwAAhDm9f8I0CfPzMW-qpzdYJmn0TQ-UBd862=s800-c-k-c0x00ffffff-no-rj,MY,UUnz-ZXXER4jOvuED5trXfEA,8359939,174000,85
1,UCJQJAI7IjbLcpsjWdSzYz0Q,Thu Vu data analytics,"Hi there! Thanks for checking out my channel. Me in 3 words: Economist turned data nerd. Me in more words: I'm a Data science consultant by profession in the past 5 years, based in the Netherlands. My background is in Economics and Computer Science. In my free time I love to read, code and draw. I'm passionate about being a data detective and being creative when explaining hard topics in data science and general tech. 

If you’re looking for information on entering a Data analytics/ Data science career,  or want to advance on your R/ Python skills, or see the day in the life of a Data Scientist and get an insider look in this career path this is the channel for you.

Disclaimers: 
All opinions are of my own and not of my employers.

",@thuvu5,2021-04-30T15:22:58.33437Z,https://yt3.ggpht.com/s3HLl-uzqEaqww2tkWKgjLFfgoe2NUsu4tRLm7g5TOScMK3aqOl1wGhar3yZRa1VH4BK3rzHyg=s800-c-k-c0x00ffffff-no-rj,US,UUJQJAI7IjbLcpsjWdSzYz0Q,3332823,123000,59
